GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
GitHub API for Java,org.kohsuke.github,GHEventPayload.DeploymentStatus,0,27,1,1,0,10,1,4,0,4
GitHub API for Java,org.kohsuke.github,GHBranchProtectionBuilder,241,260,22,4,43,63,23,35,12,33
GitHub API for Java,org.kohsuke.github,GHRepositoryChanges.FromOwner,0,9,0,0,0,4,0,3,0,3
GitHub API for Java,org.kohsuke.github,GHAuthorization,0,35,0,0,0,11,0,10,0,10
GitHub API for Java,org.kohsuke.github,GHMarketplacePendingChange,0,16,0,0,0,6,0,5,0,5
GitHub API for Java,org.kohsuke.github,GHEventPayload.CommentChanges.GHFrom,0,6,0,0,0,3,0,2,0,2
GitHub API for Java,org.kohsuke.github,GHEventPayload.Ping,0,3,0,0,0,2,0,1,0,1
GitHub API for Java,org.kohsuke.github,GHMarketplacePriceModel,3,32,0,0,1,7,1,2,1,2
GitHub API for Java,org.kohsuke.github,GHPerson,25,146,1,7,10,46,6,22,5,19
GitHub API for Java,org.kohsuke.github,GitHubClient.GHApiInfo,0,16,0,2,0,4,0,2,0,1
GitHub API for Java,org.kohsuke.github,GHCheckRunsIterable.new Iterator() {...},0,32,0,2,0,6,0,4,0,3
GitHub API for Java,org.kohsuke.github,GHRepositoryRule.StatusCheckConfiguration,0,9,0,0,0,4,0,3,0,3
GitHub API for Java,org.kohsuke.github,GHIssueChanges.GHFrom,0,6,0,0,0,3,0,2,0,2
GitHub API for Java,org.kohsuke.github,GHProjectCard,81,104,6,2,21,21,10,12,6,12
GitHub API for Java,org.kohsuke.github,GHExternalGroup,0,66,0,0,0,17,0,11,0,11
GitHub API for Java,org.kohsuke.github,GHRepositoryRule.IntegerParameter.new TypeReference() {...},0,6,0,0,0,1,0,1,0,1
GitHub API for Java,org.kohsuke.github,GHRepositoryRule.Parameters.3.new TypeReference() {...},0,6,0,0,0,1,0,1,0,1
GitHub API for Java,org.kohsuke.github,GHExternalGroup.GHLinkedExternalMember,0,15,0,0,0,6,0,5,0,5
GitHub API for Java,org.kohsuke.github,GHEventPayload.CheckSuite,11,23,2,2,2,9,2,3,0,3
GitHub API for Java,org.kohsuke.github,GHCommit.new AbstractList() {...},0,19,0,0,0,3,0,3,0,3
GitHub API for Java,org.kohsuke.github,GHEventPayload.DiscussionComment,0,9,0,0,0,4,0,3,0,3
GitHub API for Java,org.kohsuke.github,GHDeploymentStatus,4,29,0,0,1,9,1,7,1,7
GitHub API for Java,org.kohsuke.github,GHNotificationStream.new Iterator() {...},35,166,8,14,10,39,7,9,0,5
GitHub API for Java,org.kohsuke.github,GHIOException,4,17,0,0,1,8,1,4,1,4
GitHub API for Java,org.kohsuke.github,GHCheckRunsIterable,0,31,0,0,0,7,0,3,0,3
GitHub API for Java,org.kohsuke.github,GHTreeBuilder.TreeEntry,0,12,0,0,0,5,0,1,0,1
GitHub API for Java,org.kohsuke.github,GHPullRequestQueryBuilder.Sort,0,27,0,0,0,5,0,1,0,1
GitHub API for Java,org.kohsuke.github,GHTagObject,0,32,0,0,0,12,0,10,0,10
GitHub API for Java,org.kohsuke.github,GHWorkflowsIterable,0,41,0,0,0,10,0,3,0,3
GitHub API for Java,org.kohsuke.github,GHRepository.Contributor,7,6,0,0,2,3,2,2,2,2
GitHub API for Java,org.kohsuke.github,GHCommit.File,0,35,0,0,0,12,0,11,0,11
GitHub API for Java,org.kohsuke.github,GHMarketplaceAccountPlan,0,9,0,0,0,4,0,3,0,3
GitHub API for Java,org.kohsuke.github,GHPullRequestCommitDetail.Commit,19,3,0,0,6,2,6,1,6,1
GitHub API for Java,org.kohsuke.github,GHMarketplacePlanForAccountBuilder,0,31,0,0,0,6,0,2,0,2
GitHub API for Java,org.kohsuke.github,GHRepositoryRule.Parameters.2.new TypeReference() {...},0,6,0,0,0,1,0,1,0,1
GitHub API for Java,org.kohsuke.github,GHMarketplaceAccountType,6,15,0,0,1,3,1,1,1,1
GitHub API for Java,org.kohsuke.github,GHRepositoryRule.WorkflowFileReference,0,15,0,0,0,6,0,5,0,5
GitHub API for Java,org.kohsuke.github,GHPullRequestChanges.GHCommitPointer,0,9,0,0,0,4,0,3,0,3
GitHub API for Java,org.kohsuke.github,GHVerification,0,15,0,0,0,6,0,5,0,5
GitHub API for Java,org.kohsuke.github,GHPullRequestSearchBuilder,13,347,8,8,0,81,8,37,0,37
GitHub API for Java,org.kohsuke.github,GHUserSearchBuilder.Sort,0,21,0,0,0,4,0,1,0,1
GitHub API for Java,org.kohsuke.github,GitHubPageContentsIterable,0,49,0,0,0,12,0,3,0,3
GitHub API for Java,org.kohsuke.github,GHPullRequestReviewCommentBuilder,0,90,0,0,0,22,0,8,0,8
GitHub API for Java,org.kohsuke.github,GHRepositoryBuilder,10,104,0,0,2,19,2,18,2,18
GitHub API for Java,org.kohsuke.github,GHIssue.PullRequest,12,3,0,0,3,2,3,1,3,1
GitHub API for Java,org.kohsuke.github,GHPullRequestReviewBuilder.DraftReviewComment,0,21,0,0,0,8,0,4,0,4
GitHub API for Java,org.kohsuke.github,GHRateLimit,18,259,7,29,4,55,7,28,0,17
GitHub API for Java,org.kohsuke.github,GHPullRequestReviewComment,17,269,3,5,2,64,4,34,2,32
GitHub API for Java,org.kohsuke.github,GHContentSearchBuilder.ContentSearchResult,0,3,0,0,0,1,0,1,0,1
GitHub API for Java,org.kohsuke.github,GHQueryBuilder,0,8,0,0,0,3,0,1,0,1
GitHub API for Java,org.kohsuke.github,GHMilestone,47,78,1,1,11,21,8,14,7,14
GitHub API for Java,org.kohsuke.github,JsonRateLimit,0,9,0,0,0,4,0,1,0,1
GitHub API for Java,org.kohsuke.github,GHRepositoryVariable.Setter,0,23,0,0,0,3,0,1,0,1
GitHub API for Java,org.kohsuke.github,GHRepositoryDiscussion.State,0,21,0,0,0,4,0,1,0,1
GitHub API for Java,org.kohsuke.github,GHCreateRepositoryBuilder,15,77,1,3,4,16,3,8,2,7
GitHub API for Java,org.kohsuke.github,GHBranchProtection.RequiredStatusChecks,3,14,0,0,1,5,1,4,1,4
GitHub API for Java,org.kohsuke.github,GHGist,8,216,3,9,3,39,4,27,1,24
GitHub API for Java,org.kohsuke.github,GHDirection,0,15,0,0,0,3,0,1,0,1
GitHub API for Java,org.kohsuke.github,GHRepositoryStatistics.ContributorStats,4,44,1,3,1,11,1,7,0,6
GitHub API for Java,org.kohsuke.github,GHPullRequestCommitDetail.Tree,7,3,0,0,2,2,2,1,2,1
GitHub API for Java,org.kohsuke.github,GHIssueState,0,21,0,0,0,4,0,1,0,1
GitHub API for Java,org.kohsuke.github,GHReleaseBuilder.MakeLatest,0,26,0,0,0,5,0,2,0,2
GitHub API for Java,org.kohsuke.github,GHAppInstallationsIterable,0,36,0,0,0,7,0,3,0,3
GitHub API for Java,org.kohsuke.github,GHVerification.Reason,0,111,0,0,0,19,0,1,0,1
GitHub API for Java,org.kohsuke.github,GHRepositoryStatistics.CodeFrequency,0,44,0,0,0,10,0,5,0,5
GitHub API for Java,org.kohsuke.github,GHCheckRunsPage,3,27,0,2,1,4,1,3,1,2
GitHub API for Java,org.kohsuke.github,GHTeamChanges.FromRepositoryPermissions,5,31,6,6,0,5,6,4,0,4
GitHub API for Java,org.kohsuke.github,GHRepositoryPublicKey,0,14,0,0,0,6,0,4,0,4
GitHub API for Java,org.kohsuke.github,GHBranchProtectionBuilder.Restrictions,13,0,0,0,3,0,1,0,1,0
GitHub API for Java,org.kohsuke.github,GHProject.ProjectState,0,15,0,0,0,3,0,1,0,1
GitHub API for Java,org.kohsuke.github,GHRepositoryRule.Parameters.1.new TypeReference() {...},0,6,0,0,0,1,0,1,0,1
GitHub API for Java,org.kohsuke.github,GHBranchProtection.BlockCreations,0,6,0,0,0,3,0,2,0,2
GitHub API for Java,org.kohsuke.github,GHWorkflowRunQueryBuilder,25,74,0,0,6,16,3,8,3,8
GitHub API for Java,org.kohsuke.github,GHRepositoryRule.Parameters,0,76,0,0,0,15,0,1,0,1
GitHub API for Java,org.kohsuke.github,GHCompare.Commit,0,6,0,0,0,3,0,2,0,2
GitHub API for Java,org.kohsuke.github,GHEventPayload.CommitComment,0,19,1,1,0,8,1,3,0,3
GitHub API for Java,org.kohsuke.github,GitHubConnectorResponseErrorHandler.new GitHubConnectorResponseErrorHandler() {...},2,85,4,14,1,19,4,9,0,4
GitHub API for Java,org.kohsuke.github,GHRepositoryStatistics.Participation,0,11,0,0,0,4,0,3,0,3
GitHub API for Java,org.kohsuke.github,GHEventPayload.Fork,0,6,0,0,0,3,0,2,0,2
GitHub API for Java,org.kohsuke.github,GitHubRateLimitHandler.new GitHubRateLimitHandler() {...},10,24,1,1,3,7,1,3,0,3
GitHub API for Java,org.kohsuke.github,GitHubRateLimitHandler.new GitHubRateLimitHandler() {...},0,20,0,0,0,6,0,2,0,2
GitHub API for Java,org.kohsuke.github,GHMemberChanges.FromToPermission,0,9,0,0,0,4,0,3,0,3
GitHub API for Java,org.kohsuke.github,GHRateLimit.UnknownLimitRecord,0,52,0,2,0,14,0,5,0,4
GitHub API for Java,org.kohsuke.github,GHEventPayload.Repository,0,6,0,0,0,3,0,2,0,2
GitHub API for Java,org.kohsuke.github,GHGistBuilder,0,59,0,0,0,12,0,5,0,5
GitHub API for Java,org.kohsuke.github,GHProjectsV2Item,8,26,0,0,1,7,1,6,1,6
GitHub API for Java,org.kohsuke.github,GHCommitFileIterable.new Iterator() {...},0,21,0,0,0,4,0,3,0,3
GitHub API for Java,org.kohsuke.github,GHCommitSearchBuilder,78,57,1,1,16,14,15,8,14,8
GitHub API for Java,org.kohsuke.github,GHEventPayload.Public,0,3,0,0,0,2,0,1,0,1
GitHub API for Java,org.kohsuke.github,GHTeam,54,506,8,14,10,91,11,40,3,37
GitHub API for Java,org.kohsuke.github,GHRepositoryRule.Operator,0,27,0,0,0,5,0,1,0,1
GitHub API for Java,org.kohsuke.github,GHProjectsV2ItemChanges.FromToDate,0,11,0,0,0,4,0,3,0,3
GitHub API for Java,org.kohsuke.github,GHRepositoryVariable.Creator,0,19,0,0,0,3,0,1,0,1
GitHub API for Java,org.kohsuke.github,GHPullRequestReviewEvent,8,44,3,4,3,9,3,5,0,3
GitHub API for Java,org.kohsuke.github,GHWorkflowJobsPage,3,27,0,2,1,4,1,3,1,2
GitHub API for Java,org.kohsuke.github,GHLicense,7,116,2,8,3,38,3,18,1,15
GitHub API for Java,org.kohsuke.github,GHContentSearchBuilder,25,67,0,2,5,17,5,11,5,10
GitHub API for Java,org.kohsuke.github,GitHubConnectorResponseErrorHandler,0,8,0,0,0,2,0,2,0,2
GitHub API for Java,org.kohsuke.github,GHOrgHook,0,29,0,0,0,5,0,4,0,4
GitHub API for Java,org.kohsuke.github,GHTeamChanges,0,15,0,0,0,6,0,5,0,5
GitHub API for Java,org.kohsuke.github,GHLabel.Creator,0,19,0,0,0,3,0,1,0,1
GitHub API for Java,org.kohsuke.github,GHVerifiedKey,16,0,2,0,4,0,3,0,2,0
GitHub API for Java,org.kohsuke.github,GHEventPayload.PullRequest,5,31,1,3,1,12,1,7,0,6
GitHub API for Java,org.kohsuke.github,GHPullRequestReviewCommentReactions,0,61,0,0,0,21,0,11,0,11
GitHub API for Java,org.kohsuke.github,GHRepositoryStatistics.ContributorStats.Week,0,44,0,0,0,7,0,6,0,6
GitHub API for Java,org.kohsuke.github,GHEvent,0,403,0,2,0,69,0,3,0,2
GitHub API for Java,org.kohsuke.github,GHDiscussion.Setter,0,17,0,0,0,3,0,1,0,1
GitHub API for Java,org.kohsuke.github,GHExternalGroupPage,0,17,0,0,0,7,0,4,0,4
GitHub API for Java,org.kohsuke.github,GHLabelChanges,0,9,0,0,0,4,0,3,0,3
GitHub API for Java,org.kohsuke.github,GHWorkflowRun.HeadCommit,0,22,0,0,0,8,0,7,0,7
GitHub API for Java,org.kohsuke.github,GHAppInstallationsPage,3,6,0,0,1,2,1,2,1,2
GitHub API for Java,org.kohsuke.github,SearchResult,0,3,0,0,0,1,0,1,0,1
GitHub API for Java,org.kohsuke.github,RateLimitChecker.LiteralValue,2,19,1,3,1,7,1,3,0,2
GitHub API for Java,org.kohsuke.github,GHRepositoryRule.AlertsThreshold,0,27,0,0,0,5,0,1,0,1
GitHub API for Java,org.kohsuke.github,GHRepositoryVariableBuilder,0,33,0,2,0,7,0,4,0,3
GitHub API for Java,org.kohsuke.github,GHRepositoryRule.IntegerParameter,0,9,0,0,0,3,0,2,0,2
GitHub API for Java,org.kohsuke.github,GHCheckRun.Status,0,38,0,0,0,7,0,3,0,3
GitHub API for Java,org.kohsuke.github,GHObject.new ToStringStyle() {...},2,24,2,4,2,9,2,3,0,2
GitHub API for Java,org.kohsuke.github,GHRepositoryChanges.FromRepository,0,6,0,0,0,3,0,2,0,2
GitHub API for Java,org.kohsuke.github,GHEventPayload.Create,0,15,0,0,0,6,0,5,0,5
GitHub API for Java,org.kohsuke.github,GHEventPayload,0,19,0,0,0,8,0,7,0,7
GitHub API for Java,org.kohsuke.github,GHWorkflowRunsIterable,0,32,0,0,0,7,0,3,0,3
GitHub API for Java,org.kohsuke.github,GHError,0,10,0,0,0,4,0,3,0,3
GitHub API for Java,org.kohsuke.github,GHKey,0,58,0,0,0,10,0,8,0,8
GitHub API for Java,org.kohsuke.github,GHRepositoryRule.ListParameter,0,4,0,0,0,2,0,1,0,1
GitHub API for Java,org.kohsuke.github,GitUser,0,16,0,0,0,6,0,5,0,5
GitHub API for Java,org.kohsuke.github,GHEventPayload.InstallationRepositories,15,48,4,6,4,15,4,6,0,5
GitHub API for Java,org.kohsuke.github,GHWorkflowJob.Step,0,25,0,0,0,8,0,7,0,7
GitHub API for Java,org.kohsuke.github,GHCommit.Parent,0,3,0,0,0,2,0,1,0,1
GitHub API for Java,org.kohsuke.github,GHCommitBuilder,0,118,0,0,0,20,0,9,0,9
GitHub API for Java,org.kohsuke.github,GHBlobBuilder,14,61,0,0,3,10,1,4,1,4
GitHub API for Java,org.kohsuke.github,GHCommitQueryBuilder,0,96,0,0,0,19,0,11,0,11
GitHub API for Java,org.kohsuke.github,GHMilestoneState,0,15,0,0,0,3,0,1,0,1
GitHub API for Java,org.kohsuke.github,GHRepositoryChanges.Owner,0,6,0,0,0,3,0,2,0,2
GitHub API for Java,org.kohsuke.github,GHRepositoryViewTraffic.DailyInfo,0,11,0,0,0,4,0,2,0,2
GitHub API for Java,org.kohsuke.github,GHWorkflowRun.Conclusion,0,74,0,0,0,13,0,3,0,3
GitHub API for Java,org.kohsuke.github,GHIssueQueryBuilder,0,79,0,4,0,18,0,10,0,8
GitHub API for Java,org.kohsuke.github,GHPullRequestChanges.GHFrom,0,6,0,0,0,3,0,2,0,2
GitHub API for Java,org.kohsuke.github,GHProjectsV2Item.ContentType,0,27,0,0,0,5,0,1,0,1
GitHub API for Java,org.kohsuke.github,GHEventPayload.Issue,0,25,1,1,0,10,1,5,0,5
GitHub API for Java,org.kohsuke.github,GHPullRequestQueryBuilder,0,81,1,3,0,17,1,9,0,8
GitHub API for Java,org.kohsuke.github,GHMeta,0,47,0,0,0,13,0,11,0,11
GitHub API for Java,org.kohsuke.github,GHOTPRequiredException,0,3,0,0,0,2,0,1,0,1
GitHub API for Java,org.kohsuke.github,GHRepository.GHRepoPermission,0,3,0,0,0,1,0,1,0,1
GitHub API for Java,org.kohsuke.github,GHPullRequestCommitDetail.CommitPointer,11,3,0,0,3,2,3,1,3,1
GitHub API for Java,org.kohsuke.github,GHIssueSearchBuilder.Sort,0,21,0,0,0,4,0,1,0,1
GitHub API for Java,org.kohsuke.github,GHAppInstallationsIterable.new Iterator() {...},0,29,0,2,0,6,0,4,0,3
GitHub API for Java,org.kohsuke.github,GHCommitSearchBuilder.Sort,0,15,0,0,0,3,0,1,0,1
GitHub API for Java,org.kohsuke.github,GHCodeownersError,0,24,0,0,0,9,0,8,0,8
GitHub API for Java,org.kohsuke.github,GitHubAbuseLimitHandler.new GitHubAbuseLimitHandler() {...},8,8,0,0,2,4,0,2,0,2
GitHub API for Java,org.kohsuke.github,GitHubAbuseLimitHandler.new GitHubAbuseLimitHandler() {...},0,20,0,0,0,6,0,2,0,2
GitHub API for Java,org.kohsuke.github,GHRepositoryRule.RulesetSourceType,0,21,0,0,0,4,0,1,0,1
GitHub API for Java,org.kohsuke.github,GHWorkflowRun.Status,0,104,0,0,0,18,0,3,0,3
GitHub API for Java,org.kohsuke.github,GHApp,6,145,0,2,0,30,1,17,1,16
GitHub API for Java,org.kohsuke.github,GitCommit.new AbstractList() {...},0,19,0,0,0,3,0,3,0,3
GitHub API for Java,org.kohsuke.github,GHMembership.State,0,15,0,0,0,3,0,1,0,1
GitHub API for Java,org.kohsuke.github,PagedSearchIterable,11,50,0,2,3,14,2,6,2,5
GitHub API for Java,org.kohsuke.github,GHArtifactsIterable.new Iterator() {...},0,32,1,1,0,6,1,3,0,3
GitHub API for Java,org.kohsuke.github,GHCommitSearchBuilder.CommitSearchResult,1,33,0,2,1,6,0,2,0,1
GitHub API for Java,org.kohsuke.github,GHWorkflowRunsIterable.new Iterator() {...},0,32,1,1,0,6,1,3,0,3
GitHub API for Java,org.kohsuke.github,GHContentSearchBuilder.Sort,0,15,0,0,0,3,0,1,0,1
GitHub API for Java,org.kohsuke.github,GHObject.new ReflectionToStringBuilder() {...},0,24,1,3,0,2,1,3,0,2
GitHub API for Java,org.kohsuke.github,GHTargetType,6,15,0,0,1,3,1,1,1,1
GitHub API for Java,org.kohsuke.github,Requester,0,82,0,0,0,15,0,12,0,12
GitHub API for Java,org.kohsuke.github,GHExternalGroupIterable.new Iterator() {...},0,53,0,2,0,9,0,5,0,4
GitHub API for Java,org.kohsuke.github,GHContentBuilder,0,94,0,0,0,21,0,8,0,8
GitHub API for Java,org.kohsuke.github,GHEventPayload.Membership,10,25,2,2,2,10,2,4,0,4
GitHub API for Java,org.kohsuke.github,GHBranchProtection.EnforceAdmins,3,6,0,0,1,3,1,2,1,2
GitHub API for Java,org.kohsuke.github,GitHubSanityCachedValue,9,44,3,1,0,11,3,3,1,3
GitHub API for Java,org.kohsuke.github,GHMarketplaceUserPurchase,11,19,0,0,3,7,3,6,3,6
GitHub API for Java,org.kohsuke.github,EnterpriseManagedSupport,0,120,0,8,0,27,0,12,0,8
GitHub API for Java,org.kohsuke.github,GHRepositorySelection,5,15,0,0,1,3,1,1,1,1
GitHub API for Java,org.kohsuke.github,GHBranchSync,8,20,0,0,1,8,1,6,1,6
GitHub API for Java,org.kohsuke.github,GHSearchBuilder,0,86,0,4,0,18,0,7,0,5
GitHub API for Java,org.kohsuke.github,GHBranch,22,105,2,2,3,26,3,13,2,12
GitHub API for Java,org.kohsuke.github,GHRepoHook,0,35,0,0,0,5,0,4,0,4
GitHub API for Java,org.kohsuke.github,GHCompare.InnerCommit,0,21,0,0,0,8,0,7,0,7
GitHub API for Java,org.kohsuke.github,GHDiscussion.Creator,0,23,0,0,0,4,0,2,0,2
GitHub API for Java,org.kohsuke.github,GHRepositoryRule.StringParameter.new TypeReference() {...},0,6,0,0,0,1,0,1,0,1
GitHub API for Java,org.kohsuke.github,GHPersonSet,16,25,1,3,7,7,4,4,3,3
GitHub API for Java,org.kohsuke.github,GHEventPayload.WorkflowDispatch,0,13,0,0,0,5,0,4,0,4
GitHub API for Java,org.kohsuke.github,GHPermissionType,0,65,0,6,0,12,0,6,0,3
GitHub API for Java,org.kohsuke.github,GHRepository.ForkSort,0,21,0,0,0,4,0,1,0,1
GitHub API for Java,org.kohsuke.github,GHLabel.Setter,0,16,0,0,0,3,0,1,0,1
GitHub API for Java,org.kohsuke.github,GHArtifactsIterable,0,32,0,0,0,7,0,3,0,3
GitHub API for Java,org.kohsuke.github,GHEventPayload.Installation,12,63,1,7,3,16,1,7,0,4
GitHub API for Java,org.kohsuke.github,ServiceDownException,0,4,0,0,0,2,0,1,0,1
GitHub API for Java,org.kohsuke.github,GHCommit.User,0,3,0,0,0,1,0,1,0,1
GitHub API for Java,org.kohsuke.github,GHRepositoryCloneTraffic.DailyInfo,0,11,0,0,0,4,0,2,0,2
GitHub API for Java,org.kohsuke.github,GHSubscription,0,46,0,0,0,13,0,10,0,10
GitHub API for Java,org.kohsuke.github,GHUserSearchBuilder,41,23,0,0,9,7,7,5,7,5
GitHub API for Java,org.kohsuke.github,GHGistUpdater,0,128,0,0,0,24,0,11,0,11
GitHub API for Java,org.kohsuke.github,GHCommitState,0,27,0,0,0,5,0,1,0,1
GitHub API for Java,org.kohsuke.github,GHPullRequest.MergeMethod,0,21,0,0,0,4,0,1,0,1
GitHub API for Java,org.kohsuke.github,GHRepositoryRule.BooleanParameter.new TypeReference() {...},0,6,0,0,0,1,0,1,0,1
GitHub API for Java,org.kohsuke.github,GHReleaseUpdater,40,60,0,0,10,14,5,5,5,5
GitHub API for Java,org.kohsuke.github,GHMemberChanges.FromRoleName,0,6,0,0,0,3,0,2,0,2
GitHub API for Java,org.kohsuke.github,GHBranchProtection.RequiredLinearHistory,0,6,0,0,0,3,0,2,0,2
GitHub API for Java,org.kohsuke.github,GHTeamCannotBeExternallyManagedException,0,6,0,0,0,2,0,1,0,1
